date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:51	38181/38181	---MCZ	200	added ('OK')	text/html	etag:W/%226623beb4-9525%22	https://html.bslthemes.com/treto/index.html	html.bslthemes.com/treto/index.html	(from )
13:14:52	240/240	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Mon,%2019%20Jan%202026%2010:14:52%20GMT	https://html.bslthemes.com/robots.txt		(from )
13:14:53	71784/71784	---MCZ	200	added ('OK')	text/css	etag:W/%22659346f4-11868%22	https://html.bslthemes.com/treto/css/plugins/bootstrap-grid.css	html.bslthemes.com/treto/css/plugins/bootstrap-grid.css	(from https://html.bslthemes.com/treto/index.html)
13:14:54	16470/16470	---MCZ	200	added ('OK')	text/css	etag:W/%22659346f4-4056%22	https://html.bslthemes.com/treto/css/plugins/swiper.min.css	html.bslthemes.com/treto/css/plugins/swiper.min.css	(from https://html.bslthemes.com/treto/index.html)
13:14:54	7713/7713	---MCZ	200	added ('OK')	text/css	etag:W/%22659346f4-1e21%22	https://html.bslthemes.com/treto/css/plugins/magnific-popup.css	html.bslthemes.com/treto/css/plugins/magnific-popup.css	(from https://html.bslthemes.com/treto/index.html)
13:14:56	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22659346f1-e7a9%22	https://html.bslthemes.com/treto/fonts/font-awesome/css/all.min.css	html.bslthemes.com/treto/fonts/font-awesome/css/all.min.css	(from https://html.bslthemes.com/treto/index.html)
13:14:57	29515/29515	---MCZ	200	added ('OK')	text/css	etag:W/%2265a54644-734b%22	https://html.bslthemes.com/treto/css/style.css	html.bslthemes.com/treto/css/style.css	(from https://html.bslthemes.com/treto/index.html)
13:14:58	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22659346e9-47e%22	https://html.bslthemes.com/treto/favicon.ico	html.bslthemes.com/treto/favicon.ico	(from https://html.bslthemes.com/treto/index.html)
13:14:58	2473/2473	---M--	200	added ('OK')	image/png	etag:%2265934707-9a9%22	https://html.bslthemes.com/treto/img/logo.png	html.bslthemes.com/treto/img/logo.png	(from https://html.bslthemes.com/treto/index.html)
13:15:00	35367/35367	---MCZ	200	added ('OK')	text/html	etag:W/%226623beb3-8a27%22	https://html.bslthemes.com/treto/index-2.html	html.bslthemes.com/treto/index-2.html	(from https://html.bslthemes.com/treto/index.html)
